idstd
656469
656346
656385
656062
656063
656067
656068
656069
656090
656092
656094
656096
656100
656102
656113
656115
656121
656123
656139
656143
656145
656150
656167
656172
656198
656213
656216
656219
656226
656241
656245
656246
656270
656280
656286
656287
656291
656293
656313
656316
656318
656320
656321
656323
656330
656339
656341
656351
656353
656359
656374
656412
656421
656426
656433
656434
656436
656453
656454
656457
656463
656465
656467
656472
656473
656474
656476
656479
656485
656486
656503
656506
656512
656519
656522
656528
656529
656531
656532
656533
656534
656537
656541
656546
656547
656550
656562
656571
656577
656580
656584
656586
656599
656600
656610
656625
656629
656630
656634
656641
656643
656655
656659
656660
656661
656665
656668
656669
656687
656688
656712
656717
656728
656769
656783
656798
656800
656802
656814
656816
656819
656830
656842
656850
656853
656856
656860
656883
656885
656908
656914
656915
656916
656920
656922
656945
656953
656956
656972
656978
656983
657067
657071
657074
657082
657110
657116
657120
657236
657241
657242
657243
657248
657250
657256
657265
657284
657301
657306
657311
657333
657356
